origin,destination,distance
IND,ATL,441.4
IND,AUS,931.53
IND,BDL,718.1
IND,BOS,806.51
IND,BWI,508.77
IND,CLE,250.4
IND,CLT,430.46
IND,CVG,98.77
IND,DCA,493.01
IND,DEN,979.67
IND,DFW,761.97
IND,DTW,219.08
IND,EWR,634.61
IND,FLL,1015.19
IND,IAH,857.26
IND,JAX,695.83
IND,JFK,655.32
IND,LAS,1592.88
IND,LAX,1817.45
IND,LGA,650.58
IND,MCI,725.46
IND,MCO,837.9
IND,MDW,155.81
IND,MEM,393.72
IND,MIA,1030.62
IND,MKE,230.52
IND,MSP,498.58
IND,MSY,720.76
IND,ORD,171.44
IND,PHL,578.04
IND,PHX,1493.37
IND,PIT,315.35
IND,RDU,488.09
IND,RSW,955.95
IND,SAT,997.45
IND,SEA,1862.43
IND,SFO,1944.4
IND,SRQ,886.87
IND,TPA,848.09
IND,XNA,515.07
